ZIPCODE,AVG,NUMBER OF RESTAURANTS,COUNTRY
10460.0,8.258064516129032,1056,US
10020.0,8.382978723404255,768,US
11412.0,9.0,720,US
10451.0,9.072368421052632,2512,US
10001.0,9.146694214876034,8144,US
11224.0,9.426470588235293,1200,US
10030.0,9.428571428571429,624,US
10005.0,9.455882352941176,1104,US
11239.0,9.714285714285714,160,US
11236.0,9.865384615384615,1776,US
10452.0,9.922222222222222,1616,US
10459.0,9.972602739726028,1200,US
11370.0,10.0,448,US
11692.0,10.0,144,US
11365.0,10.068181818181818,752,US
11426.0,10.074074074074074,480,US
10309.0,10.076923076923077,1200,US
10472.0,10.115384615384615,1728,US
11234.0,10.127659574468085,2432,US
10474.0,10.222222222222221,656,US
10004.0,10.229508196721312,2272,US
11366.0,10.283018867924529,896,US
11217.0,10.297071129707113,4064,US
11436.0,10.304347826086957,368,US
11427.0,10.333333333333334,304,US
11228.0,10.392156862745098,848,US
10306.0,10.403846153846153,1776,US
10469.0,10.453488372093023,1488,US
11231.0,10.51388888888889,2544,US
11368.0,10.516245487364621,4640,US
11369.0,10.536082474226804,1664,US
10462.0,10.537931034482758,2368,US
10454.0,10.55072463768116,1152,US
11201.0,10.551401869158878,5520,US
11364.0,10.5625,816,US
10305.0,10.568181818181818,1520,US
11237.0,10.584795321637428,2864,US
10475.0,10.604651162790697,832,US
10023.0,10.664835164835164,3152,US
10044.0,10.666666666666666,144,US
11210.0,10.666666666666666,1408,US
11209.0,10.669456066945607,4224,US
10019.0,10.677215189873417,10560,US
10461.0,10.680555555555555,2464,US
11232.0,10.683168316831683,1696,US
10007.0,10.691666666666666,2224,US
11360.0,10.708333333333334,384,US
11105.0,10.747826086956522,1968,US
11374.0,10.770114942528735,1456,US
10301.0,10.774193548387096,1648,US
10031.0,10.776470588235295,1536,US
10065.0,10.7875,2768,US
11225.0,10.8,1616,US
10471.0,10.804878048780488,688,US
11207.0,10.818181818181818,2176,US
10280.0,10.823529411764707,336,US
11218.0,10.834586466165414,2352,US
10456.0,10.852272727272727,1488,US
11379.0,10.857142857142858,816,US
10307.0,10.89655172413793,480,US
10457.0,10.939759036144578,1472,US
11435.0,10.941176470588236,1696,US
10022.0,10.942184154175589,7808,US
10458.0,10.945054945054945,3136,US
11222.0,10.960227272727273,3088,US
11356.0,10.962264150943396,896,US
11238.0,10.985781990521327,3936,US
10468.0,10.989690721649485,1712,US
11420.0,11.0,1392,US
10036.0,11.094642857142857,9488,US
10463.0,11.139344262295081,2048,US
11421.0,11.17142857142857,1168,US
11101.0,11.18348623853211,4000,US
11204.0,11.196581196581196,1968,US
11361.0,11.229357798165138,1904,US
11004.0,11.25,528,US
10473.0,11.258064516129032,512,US
11215.0,11.265129682997118,5952,US
10308.0,11.283018867924529,912,US
11385.0,11.283898305084746,4032,US
11106.0,11.287671232876713,2496,US
10027.0,11.324675324675324,2608,US
11362.0,11.346938775510203,816,US
10467.0,11.361290322580645,2704,US
10017.0,11.380281690140846,6016,US
11418.0,11.390243902439025,1408,US
11103.0,11.4,3344,US
11432.0,11.4,3008,US
10010.0,11.408695652173913,3936,US
10455.0,11.422680412371134,1600,US
10024.0,11.424083769633508,3232,US
10012.0,11.4251968503937,6432,US
10465.0,11.426470588235293,1184,US
10040.0,11.434782608695652,1120,US
11373.0,11.483720930232558,3600,US
10011.0,11.495327102803738,7408,US
11102.0,11.536585365853659,1424,US
11233.0,11.548387096774194,1072,US
11357.0,11.580645161290322,1008,US
11226.0,11.62051282051282,3216,US
10018.0,11.64797507788162,5328,US
10038.0,11.662337662337663,2688,US
10312.0,11.695652173913043,1248,US
11212.0,11.695652173913043,1568,US
11358.0,11.707692307692307,2288,US
10016.0,11.728426395939087,6624,US
10466.0,11.74712643678161,1440,US
11367.0,11.76086956521739,816,US
11230.0,11.767676767676768,1632,US
10003.0,11.769108280254777,10800,US
10014.0,11.774025974025975,6528,US
10025.0,11.780821917808218,3792,US
11206.0,11.785185185185185,2464,US
10028.0,11.787878787878787,3424,US
11433.0,11.793103448275861,480,US
10009.0,11.805555555555555,4992,US
11417.0,11.8125,1104,US
11221.0,11.813725490196079,1776,US
11422.0,11.820512820512821,656,US
11375.0,11.827956989247312,3136,US
10002.0,11.868663594470046,7584,US
11219.0,11.877551020408163,1680,US
11423.0,11.911764705882353,560,US
10013.0,12.011363636363637,7680,US
10029.0,12.021505376344086,3152,US
11203.0,12.023076923076923,2256,US
11208.0,12.027027027027026,1856,US
10464.0,12.058823529411764,576,US
11378.0,12.075949367088608,1296,US
11213.0,12.080459770114942,1424,US
11223.0,12.094674556213018,2960,US
10453.0,12.109756097560975,1424,US
11205.0,12.113475177304965,2320,US
10314.0,12.146198830409357,2960,US
11214.0,12.19047619047619,2880,US
11411.0,12.2,368,US
11211.0,12.238095238095237,5840,US
11413.0,12.256410256410257,656,US
10035.0,12.256756756756756,1248,US
11693.0,12.28,448,US
10470.0,12.357142857142858,736,US
11216.0,12.402597402597403,2656,US
11434.0,12.411764705882353,1440,US
10075.0,12.43010752688172,1520,US
10034.0,12.565217391304348,1696,US
11229.0,12.588235294117647,2272,US
10021.0,12.613793103448275,2432,US
11416.0,12.642857142857142,704,US
10302.0,12.666666666666666,1088,US
10128.0,12.677631578947368,2544,US
10006.0,12.733333333333333,752,US
10037.0,12.774193548387096,496,US
11372.0,12.841750841750843,5104,US
10032.0,12.859649122807017,1872,US
11691.0,12.930232558139535,720,US
11354.0,12.952095808383234,5776,US
11377.0,13.00497512437811,3424,US
10033.0,13.026785714285714,1920,US
10304.0,13.156862745098039,976,US
11419.0,13.162790697674419,1456,US
11220.0,13.181506849315069,5072,US
10303.0,13.294117647058824,592,US
11235.0,13.296296296296296,2816,US
11363.0,13.307692307692308,224,US
11104.0,13.567307692307692,1824,US
11414.0,13.595744680851064,800,US
10026.0,13.691176470588236,1184,US
11429.0,13.833333333333334,384,US
11428.0,13.945945945945946,640,US
11355.0,14.08108108108108,3152,US
11694.0,14.333333333333334,608,US
10039.0,14.892857142857142,496,US
11415.0,15.657142857142857,576,US
10310.0,15.98,896,US
